Infinitive,English,Type,Class,Conjugation
achomharc,appeal,v1a,class1,1
adhmhol,extol,v1a,class1,1
aducht,adduct,v1a,class1,1
aimhriar,disorder,v1a,class1,1
ainéal,anneal,v1a,class1,1
aisghabh,retake,v1a,class1,1
aisíoc,repay,v1a,class1,1
aislíon,backfill,v1a,class1,1
aisphreab,rebound,v1a,class1,1
aitheasc,address,v1a,class1,1
alp,devour,v1a,class1,1
alt,articulate,v1a,class1,1
amharc,look,v1a,class1,1
amhrán,sing a song,v1a,class1,1
aol,lime,v1a,class1,1
aom,attract,v1a,class1,1
aor,satirize,v1a,class1,1
arg,destroy,v1a,class1,1
at,swell,v1a,class1,1
ataifead,rerecord,v1a,class1,1
athaol,relime,v1a,class1,1
athchas,tum again,v1a,class1,1
athcheap,reappoint,v1a,class1,1
ath-chlóscríobh,retype,v1a,class1,1
athchraol,retransmit,v1a,class1,1
athchrom,resume,v1a,class1,1
athchum,reconstruct,v1a,class1,1
athdhéan,redo,v1a,class1,1
athdhear,redesign,v1a,class1,1
athdhiol,resell,v1a,class1,1
athdhíon,reroof,v1a,class1,1
athfhéach,reflect,v1a,class1,1
athfhionn,rediscover,v1a,class1,1
athghabh,retake,v1a,class1,1
athghlan,reclean,v1a,class1,1
athghléas,refit,v1a,class1,1
athghor,reheat,v1a,class1,1
ath-imscar,redeploy,v1a,class1,1
athlas,relight,v1a,class1,1
athleag,re-lay,v1a,class1,1
athlíon,refill,v1a,class1,1
athmheas,revise,v1a,class1,1
athmheasc,remix,v1a,class1,1
athnasc,reclasp,v1a,class1,1
athnocht,exhume,v1a,class1,1
athphoU,reperforate,v1a,class1,1
athphós,remarry,v1a,class1,1
athphreab,rebound,v1a,class1,1
athraon,refract,v1a,class1,1
athriar,readminister,v1a,class1,1
athscag,refilter,v1a,class1,1
athscriobh,rewrite,v1a,class1,1
athshann,reassign,v1a,class1,1
athsheol,readdress,v1a,class1,1
athshon,resonate,v1a,class1,1
athspreag,reincite,v1a,class1,1
atóg,rebuild,v1a,class1,1
atogh,reelect,v1a,class1,1
atoll,re-bore,v1a,class1,1
atrácht,retread,v1a,class1,1
atreabh,replow,v1a,class1,1
bac,hinder,v1a,class1,1
ballbhasc,maim,v1a,class1,1
barr',surpass,v1a,class1,1
barr2,hinder,v1a,class1,1
barrghearr,top,v1a,class1,1
barrUon,top up,v1a,class1,1
basc,bash,v1a,class1,1
bearr,clip,v1a,class1,1
beibheal,bevel,v1a,class1,1
beoghearr,vivisect,v1a,class1,1
beophian,tantalize,v1a,class1,1
bíog,start,v1a,class1,1
bior-róst,spitroast,v1a,class1,1
bladhm,flame,v1a,class1,1
blaosc,puff,v1a,class1,1
blogh,shatter,v1a,class1,1
blosc,crack,v1a,class1,1
bog,soften,v1a,class1,1
bogchas,jog,v1a,class1,1
bogh,bow,v1a,class1,1
bolg,bulge,v1a,class1,1
borr,swell,v1a,class1,1
bosc,bush,v1a,class1,1
breab,bribe,v1a,class1,1
breac,speckle,v1a,class1,1
bréag,cajole,v1a,class1,1
bréan,poUute,v1a,class1,1
briog,prick,v1a,class1,1
broc,spoil,v1a,class1,1
brón,grieve,v1a,class1,1
bronn,grant,v1a,class1,1
brúcht,belch,v1a,class1,1
bruion,quarrel,v1a,class1,1
buac,lixiviate,v1a,class1,1
buantonn,perm,v1a,class1,1
buiséad,budget,v1a,class1,1
burr,burr,v1a,class1,1
cac,defecate,v1a,class1,1
calc,caulk,v1a,class1,1
cam,bend,v1a,class1,1
can,sing,v1a,class1,1
caoch,blind,v1a,class1,1
caoindíol,soft-sell,v1a,class1,1
car,love,v1a,class1,1
cam,heap,v1a,class1,1
cart,tan,v1a,class1,1
cas,twist,v1a,class1,1
céadcheap,invent,v1a,class1,1
cealg,beguile,v1a,class1,1
ceap,invent,v1a,class1,1
céas,crucify,v1a,class1,1
céimbhog,inch,v1a,class1,1
ciap,harass,v1a,class1,1
ciar,wax,v1a,class1,1
cineach,devolve,v1a,class1,1
cionn,take care of,v1a,class1,1
cíor,comb,v1a,class1,1
clab,swallow greedily,v1a,class1,1
clag,clack,v1a,class1,1
claon,incline,v1a,class1,1
cleacht,perform habitually,v1a,class1,1
cliath,harrow,v1a,class1,1
cloch,stone,v1a,class1,1
clog,blister,v1a,class1,1
clóscríobh,type,v1a,class1,1
cnag,knock,v1a,class1,1
cnap,heap,v1a,class1,1
cnead,pant,v1a,class1,1
cniog,rap,v1a,class1,1
coc,cock,v1a,class1,1
coimeád,keep,v1a,class1,1
coimhéad,guard,v1a,class1,1
cóimheas,compare,v1a,class1,1
cóimheasc,coalesce,v1a,class1,1
coimpléasc,complex,v1a,class1,1
coincheap,conceive,v1a,class1,1
coinscríobh,conscript,v1a,class1,1
coirbéal,corbel,v1a,class1,1
comhchlaon,converge,v1a,class1,1
comhdhéan,constitute,v1a,class1,1
comhghléas,tune in,v1a,class1,1
comhlean,cohere,v1a,class1,1
comhlion,fulfill,v1a,class1,1
comhriar,communicate,v1a,class1,1
comhthóg,build up,v1a,class1,1
comhthogh,co-opt,v1a,class1,1
conducht,conduct,v1a,class1,1
cor,tum,v1a,class1,1
corb,corrupt,v1a,class1,1
com,roU,v1a,class1,1
crág,chelate,v1a,class1,1
craobhieath,layer,v1a,class1,1
craol,announce,v1a,class1,1
craosfholc,gargle,v1a,class1,1
crap,contract,v1a,class1,1
creach,raid,v1a,class1,1
créam,cremate,v1a,class1,1
crean,obtain,v1a,class1,1
creath,tremble,v1a,class1,1
críon,wither,v1a,class1,1
croch,hang,v1a,class1,1
crom,bend,v1a,class1,1
cros,cross,v1a,class1,1
crosghrean,crosshatch,v1a,class1,1
crostreabh,cross-plow,v1a,class1,1
cruach,stack,v1a,class1,1
cruan,enamel,v1a,class1,1
cuach,bundle,v1a,class1,1
cuar,curve,v1a,class1,1
cúb,bend,v1a,class1,1
cúiréad,curette,v1a,class1,1
cúlcham,stockpile,v1a,class1,1
cúlchas,rewind,v1a,class1,1
cúlghearr,backbite,v1a,class1,1
cúlghlan,back out,v1a,class1,1
cúlsmiot,backchip,v1a,class1,1
cúltort,backfire,v1a,class1,1
cum,form,v1a,class1,1
cúr,chastise,v1a,class1,1
dall,blind,v1a,class1,1
daUscriobh,blind-write,v1a,class1,1
dámh,concede,v1a,class1,1
daor,enslave,v1a,class1,1
daorbhasc,maul severely,v1a,class1,1
dath,aUocate,v1a,class1,1
dea-mheas,approve,v1a,class1,1
deann,color,v1a,class1,1
dear,draw,v1a,class1,1
dearbhasc,affirm,v1a,class1,1
dearc,look,v1a,class1,1
dearg,redden,v1a,class1,1
dearmad,forget,v1a,class1,1
deasc,settle,v1a,class1,1
deimhneasc,aver,v1a,class1,1
deoch,immerse,v1a,class1,1
di-adharc,dehom,v1a,class1,1
diall,incline,v1a,class1,1
díbhlogh,defragment,v1a,class1,1
díbholg,deflate,v1a,class1,1
di-bhurr,deburr,v1a,class1,1
dícheann,behead,v1a,class1,1
díchónasc,disconnect,v1a,class1,1
díchom,unwind,v1a,class1,1
díchruach,unstack,v1a,class1,1
díchuach,unbundle,v1a,class1,1
díchum,deform,v1a,class1,1
díghléas,demount,v1a,class1,1
dilasc,disconnect,v1a,class1,1
dimheas,depreciate,v1a,class1,1
dímhol,dispraise,v1a,class1,1
dínasc,unclasp,v1a,class1,1
díobh,extinguish,v1a,class1,1
díochlaon,decline,v1a,class1,1
díol,sell,v1a,class1,1
dion,protect,v1a,class1,1
diosc,dissect,v1a,class1,1
diosc,creak,v1a,class1,1
díphéac,disbud,v1a,class1,1
díraon,diffract,v1a,class1,1
discríobh,write off,v1a,class1,1
díscrios,undelete,v1a,class1,1
díscrobh,unscramble,v1a,class1,1
díshioc,defrost,v1a,class1,1
díshlóg,demobilize,v1a,class1,1
dishrian,decontrol,v1a,class1,1
díspeag,belittle,v1a,class1,1
díspreag,deter,v1a,class1,1
diúg,drain,v1a,class1,1
diúl,suck,v1a,class1,1
docht,tighten,v1a,class1,1
dol,loop,v1a,class1,1
dord,hum,v1a,class1,1
drann,snarl,v1a,class1,1
dreach,delineate,v1a,class1,1
dreap,climb,v1a,class1,1
driog,distill,v1a,class1,1
droimscríobh,endorse,v1a,class1,1
dual,twine,v1a,class1,1
dúghabh,obsess,v1a,class1,1
dúmhál,blackmail,v1a,class1,1
dún,close,v1a,class1,1
dúthum,plunge,v1a,class1,1
éag,die,v1a,class1,1
éar,refuse,v1a,class1,1
earb,trust,v1a,class1,1
easghlan,scavenge,v1a,class1,1
castósc,extract,v1a,class1,1
eiscríobh,escribe,v1a,class1,1
eiséat,escheat,v1a,class1,1
eisfhear,excrete,v1a,class1,1
eisiacht,eject,v1a,class1,1
eisíoc,disburse,v1a,class1,1
eisleath,effuse,v1a,class1,1
eistréat,estreat,v1a,class1,1
