infinitive,english,verbalNoun,verbalAdjective,verbType,simplePast1stPersonSingPos,simplePast1stPersonSingInter,simplePast1stPersonSingNeg,simplePast2ndPersonSingPos,simplePast2ndPersonSingInter,simplePast2ndPersonSingNeg,simplePast3rdPersonSingPos,simplePast3rdPersonSingInter,simplePast3rdPersonSingNeg,simplePast1stPersonPlPosAlt,simplePast1stPersonPlInterAlt,simplePast1stPersonPlNegAlt,simplePast1stPersonPlPos,simplePast1stPersonPlInter,simplePast1stPersonPlNeg,simplePast2ndPersonPlPos,simplePast2ndPersonPlInter,simplePast2ndPersonPlNeg,simplePast3rdPersonPlPos,simplePast3rdPersonPlInter,simplePast3rdPersonPlNeg,simplePast3rdPersonPlPosAlt,simplePast3rdPersonPlInterAlt,simplePast3rdPersonPlNegAlt,simplePastImpersonalPos,simplePastImpersonalInter,simplePastImpersonalNeg,present1stPersonSingPos,present1stPersonSingInter,present1stPersonSingNeg,present2ndPersonSingPos,present2ndPersonSingInter,present2ndPersonSingNeg,present3rdPersonSingPos,present3rdPersonSingInter,present3rdPersonSingNeg,present1stPersonPlPosAlt,present1stPersonPlInterAlt,present1stPersonPlNegAlt,present1stPersonPlPos,present1stPersonPlInter,present1stPersonPlNeg,present2ndPersonPlPos,present2ndPersonPlInter,present2ndPersonPlNeg,present3rdPersonPlPos,present3rdPersonPlInter,present3rdPersonPlNeg,presentImpersonalPos,presentImpersonalInter,presentImpersonalNeg,future1stPersonSingPos,future1stPersonSingInter,future1stPersonSingNeg,future2ndPersonSingPos,future2ndPersonSingInter,future2ndPersonSingNeg,future3rdPersonSingPos,future3rdPersonSingInter,future3rdPersonSingNeg,future1stPersonPlPosAlt,future1stPersonPlInterAlt,future1stPersonPlNegAlt,future1stPersonPlPos,future1stPersonPlInter,future1stPersonPlNeg,future2ndPersonPlPos,future2ndPersonPlInter,future2ndPersonPlNeg,future3rdPersonPlPos,future3rdPersonPlInter,future3rdPersonPlNeg,futureImpersonalPos,futureImpersonalInter,futureImpersonalNeg,conditional1stPersonSingPos,conditional1stPersonSingInter,conditional1stPersonSingNeg,conditional2ndPersonSingPos,conditional2ndPersonSingInter,conditional2ndPersonSingNeg,conditional3rdPersonSingPos,conditional3rdPersonSingInter,conditional3rdPersonSingNeg,conditional1stPersonPlPosAlt,conditional1stPersonPlInterAlt,conditional1stPersonPlNegAlt,conditional1stPersonPlPos,conditional1stPersonPlInter,conditional1stPersonPlNeg,conditional2ndPersonPlPos,conditional2ndPersonPlInter,conditional2ndPersonPlNeg,conditional3rdPersonPlPosAlt,conditional3rdPersonPlInterAlt,conditional3rdPersonPlNegAlt,conditional3rdPersonPlPos,conditional3rdPersonPlInter,conditional3rdPersonPlNeg,conditionalImpersonalPos,conditionalImpersonalInter,conditionalImpersonalNeg,habitualPast1stPersonSingPos,habitualPast1stPersonSingInter,habitualPast1stPersonSingNeg,habitualPast2ndPersonSingPos,habitualPast2ndPersonSingInter,habitualPast2ndPersonSingNeg,habitualPast3rdPersonSingPos,habitualPast3rdPersonSingInter,habitualPast3rdPersonSingNeg,habitualPast1stPersonPlPosAlt,habitualPast1stPersonPlInterAlt,habitualPast1stPersonPlNegAlt,habitualPast1stPersonPlPos,habitualPast1stPersonPlInter,habitualPast1stPersonPlNeg,habitualPast2ndPersonPlPos,habitualPast2ndPersonPlInter,habitualPast2ndPersonPlNeg,habitualPast3rdPersonPlPosAlt,habitualPast3rdPersonPlInterAlt,habitualPast3rdPersonPlNegAlt,habitualPast3rdPersonPlPos,habitualPast3rdPersonPlInter,habitualPast3rdPersonPlNeg,habitualPastImpersonalPos,habitualPastImpersonalInter,habitualPastImpersonalNeg,imperative1stPersonSingPos,imperative1stPersonSingNeg,imperative2ndPersonSingPos,imperative2ndPersonSingNeg,imperative3rdPersonSingPos,imperative3rdPersonSingNeg,imperative1stPersonPlPos,imperative1stPersonPlNeg,imperative1stPersonPlPosAlt,imperative1stPersonPlNegAlt,imperative2ndPersonPlPos,imperative2ndPersonPlNeg,imperative3rdPersonPlPos,imperative3rdPersonPlNeg,imperative3rdPersonPlPosAlt,imperative3rdPersonPlNegAlt,imperativeImpersonalPos,imperativeImpersonalNeg,presentSubjunctive1stPersonSingPos,presentSubjunctive1stPersonSingNeg,presentSubjunctive2ndPersonSingPos,presentSubjunctive2ndPersonSingNeg,presentSubjunctive3rdPersonSingPos,presentSubjunctive3rdPersonSingNeg,presentSubjunctive1stPersonPlPos,presentSubjunctive1stPersonPlNeg,presentSubjunctive1stPersonPlPosAlt,presentSubjunctive1stPersonPlNegAlt,presentSubjunctive2ndPersonPlPos,presentSubjunctive2ndPersonPlNeg,presentSubjunctive3rdPersonPlPos,presentSubjunctive3rdPersonPlNeg,presentSubjunctiveImpersonalPos,presentSubjunctiveImpersonalNeg
abair,say,rá,ráite,v3,dúirt mé,an ndúirt mé?,ní dúirt mé,dúirt tú,an ndúirt tú?,ní dúirt tú,dúirt sé,an ndúirt sé?,ní dúirt sé,dúramar,an ndúramar?,ní dúramar,dúirt muid,an ndúirt muid?,ní dúirt muid,dúirt sibh,an ndúirt sibh?,ní dúirt sibh,dúirt siad,an ndúirt siad?,ní dúirt siad,dúradar,an ndúradar?,ní dúradar,dúradh,an ndúradh?,ní dúradh,deirim,an ndeirim?,ní deirim,deir tú,an ndeir tú?,ní deir tú,deir sé,an ndeir sé?,ní deir sé,deirimid,an ndeirimid?,ní deirimid,deir muid,an ndeir muid?,ní deir muid,deir sibh,an ndeir sibh?,ní deir sibh,deir siad,an ndeir siad?,ní deir siad,deirtear,an ndeirtear?,ní deirtear,déarfaidh mé,an ndéarfaidh mé?,ní déarfaidh mé,déarfaidh tú,an ndéarfaidh tú?,ní déarfaidh tú,déarfaidh sé,an ndéarfaidh sé?,ní déarfaidh sé,déarfaimid,an ndéarfaimid?,ní déarfaimid,déarfaidh muid,an ndéarfaidh muid?,ní déarfaidh muid,déarfaidh sibh,an ndéarfaidh sibh?,ní déarfaidh sibh,déarfaidh siad,an ndéarfaidh siad?,ní déarfaidh siad,déarfar,an ndéarfar?,ní déarfar,déarfainn,an ndéarfainn?,ní déarfainn,déarfá,an ndéarfá?,ní déarfá,déarfadh sé,an ndéarfadh sé?,ní déarfadh sé,déarfaimis,an ndéarfaimis?,ní déarfaimis,déarfadh muid,an ndéarfadh muid?,ní déarfadh muid,déarfadh sibh,an ndéarfadh sibh?,ní déarfadh sibh,déarfaidís,an ndéarfaidís?,ní déarfaidís,déarfadh siad,an ndéarfadh siad?,ní déarfadh siad,déarfaí,an ndéarfaí?,ní déarfaí,deirinn,an ndeirinn?,ní deirinn,deirteá,an ndeirteá?,ní deirteá,deireadh sé,an ndeireadh sé?,ní deireadh sé,deirimis,an ndeirimis?,ní deirimis,deireadh muid,an ndeireadh muid?,ní deireadh muid,deireadh sibh,an ndeireadh sibh?,ní deireadh sibh,deiridís,an ndeiridís?,ní deiridís,deireadh siad,an ndeireadh siad?,ní deireadh siad,deirtí,an ndeirtí?,ní deirtí,abraim!,ná habraim!,abair!,ná habair!,abradh sé!,ná habradh sé!,abraimis!,ná habraimis!,abradh muid!,ná habradh muid!,abraigí!,ná habraigí!,abraidís!,ná habraidís!,abradh siad!,ná habradh siad!,abairtear!,ná habairtear!,go ndeire mé,nár deire mé,go ndeire tú,nár deire tú,go ndeire sé,nár deire sé,go ndeirimid,nár deirimid,go ndeire muid,nár deire muid,go ndeire sibh,nár deire sibh,go ndeire siad,nár deire siad,go ndeirtear,nár deirtear
beir,catch,breith,beirthe,v3,rug mé,ar rug mé?,níor rug mé,rug tú,ar rug tú?,níor rug tú,rug sé,ar rug sé?,níor rug sé,rugamar,ar rugamar?,níor rugamar,rug muid,ar rug muid?,níor rug muid,rug sibh,ar rug sibh?,níor rug sibh,rug siad,ar rug siad?,níor rug siad,rugadar,ar rugadar?,níor rugadar,rugadh,ar rugadh?,níor rugadh,beirim,an mbeirim?,ní bheirim,beireann tú,an mbeireann tú?,ní bheireann tú,beireann sé,an mbeireann sé?,ní bheireann sé,beirimid,an mbeirimid?,ní bheirimid,beireann muid,an mbeireann muid?,ní bheireann muid,beireann sibh,an mbeireann sibh?,ní bheireann sibh,beireann siad,an mbeireann siad?,ní bheireann siad,beirtear,an mbeirtear?,ní bheirtear,béarfaidh mé,an mbéarfaidh mé?,ní bhéarfaidh mé,béarfaidh tú,an mbéarfaidh tú?,ní bhéarfaidh tú,béarfaidh sé,an mbéarfaidh sé?,ní bhéarfaidh sé,béarfaimid,an mbéarfaimid?,ní bhéarfaimid,béarfaidh muid,an mbéarfaidh muid?,ní bhéarfaidh muid,béarfaidh sibh,an mbéarfaidh sibh?,ní bhéarfaidh sibh,béarfaidh siad,an mbéarfaidh siad?,ní bhéarfaidh siad,béarfar,an mbéarfar?,ní bhéarfar,bhéarfainn,an mbéarfainn?,ní bhéarfainn,bhéarfá,an mbéarfá?,ní bhéarfá,bhéarfadh sé,an mbéarfadh sé?,ní bhéarfadh sé,bhéarfaimis,an mbéarfaimis?,ní bhéarfaimis,bhéarfadh muid,an mbéarfadh muid?,ní bhéarfadh muid,bhéarfadh sibh,an mbéarfadh sibh?,ní bhéarfadh sibh,bhéarfaidís,an mbéarfaidís?,ní bhéarfaidís,bhéarfadh siad,an mbéarfadh siad?,ní bhéarfadh siad,bhéarfaí,an mbéarfaí?,ní bhéarfaí,bheirinn,an mbeirinn?,ní bheirinn,bheirteá,an mbeirteá?,ní bheirteá,bheireadh sé,an mbeireadh sé?,ní bheireadh sé,bheirimis,an mbeirimis?,ní bheirimis,bheireadh muid,an mbeireadh muid?,ní bheireadh muid,bheireadh sibh,an mbeireadh sibh?,ní bheireadh sibh,bheiridís,an mbeiridís?,ní bheiridís,bheireadh siad,an mbeireadh siad?,ní bheireadh siad,bheirtí,an mbeirtí?,ní bheirtí,beirim!,ná beirim!,beir!,ná beir!,beireadh sé!,ná beireadh sé!,beirimis!,ná beirimis!,beireadh muid!,ná beireadh muid!,beirigí!,ná beirigí!,beiridís!,ná beiridís!,beireadh siad!,ná beireadh siad!,beirtear!,ná beirtear!,go mbeire mé,nár bheire mé,go mbeire tú,nár bheire tú,go mbeire sé,nár bheire sé,go mbeirimid,nár bheirimid,go mbeire muid,nár bheire muid,go mbeire sibh,nár bheire sibh,go mbeire siad,nár bheire siad,go mbeirtear,nár bheirtear
bí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clois,hear,cloisteáil,cloiste,v3,chuala mé,ar chuala mé?,níor chuala mé,chuala tú,ar chuala tú?,níor chuala tú,chuala sé,ar chuala sé?,níor chuala sé,chualamar,ar chualamar?,níor chualamar,chuala muid,ar chuala muid?,níor chuala muid,chuala sibh,ar chuala sibh?,níor chuala sibh,chuala siad,ar chuala siad?,níor chuala siad,chualadar,ar chualadar?,níor chualadar,chualathas,ar chualathas?,níor chualathas,cloisim,an gcloisim?,ní chloisim,cloiseann tú,an gcloiseann tú?,ní chloiseann tú,cloiseann sé,an gcloiseann sé?,ní chloiseann sé,cloisimid,an gcloisimid?,ní chloisimid,cloiseann muid,an gcloiseann muid?,ní chloiseann muid,cloiseann sibh,an gcloiseann sibh?,ní chloiseann sibh,cloiseann siad,an gcloiseann siad?,ní chloiseann siad,cloistear,an gcloistear?,ní chloistear,cloisfidh mé,an gcloisfidh mé?,ní chloisfidh mé,cloisfidh tú,an gcloisfidh tú?,ní chloisfidh tú,cloisfidh sé,an gcloisfidh sé?,ní chloisfidh sé,cloisfimid,an gcloisfimid?,ní chloisfimid,cloisfidh muid,an gcloisfidh muid?,ní chloisfidh muid,cloisfidh sibh,an gcloisfidh sibh?,ní chloisfidh sibh,cloisfidh siad,an gcloisfidh siad?,ní chloisfidh siad,cloisfear,an gcloisfear?,ní chloisfear,chloisfinn,an gcloisfinn?,ní chloisfinn,chloisfeá,an gcloisfeá?,ní chloisfeá,chloisfeadh sé,an gcloisfeadh sé?,ní chloisfeadh sé,chloisfimis,an gcloisfimis?,ní chloisfimis,chloisfeadh muid,an gcloisfeadh muid?,ní chloisfeadh muid,chloisfeadh sibh,an gcloisfeadh sibh?,ní chloisfeadh sibh,chloisfidís,an gcloisfidís?,ní chloisfidís,chloisfeadh siad,an gcloisfeadh siad?,ní chloisfeadh siad,chloisfí,an gcloisfí?,ní chloisfí,chloisinn,an gcloisinn?,ní chloisinn,chloisteá,an gcloisteá?,ní chloisteá,chloiseadh sé,an gcloiseadh sé?,ní chloiseadh sé,chloisimis,an gcloisimis?,ní chloisimis,chloiseadh muid,an gcloiseadh muid?,ní chloiseadh muid,chloiseadh sibh,an gcloiseadh sibh?,ní chloiseadh sibh,chloisidís,an gcloisidís?,ní chloisidís,chloiseadh siad,an gcloiseadh siad?,ní chloiseadh siad,chloistí,an gcloistí?,ní chloistí,cloisim!,ná cloisim!,clois!,ná clois!,cloiseadh sé!,ná cloiseadh sé!,cloisimis!,ná cloisimis!,cloiseadh muid!,ná cloiseadh muid!,cloisigí!,ná cloisigí!,cloisidís!,ná cloisidís!,cloiseadh siad!,ná cloiseadh siad!,cloistear!,ná cloistear!,go gcloise mé,nár chloise mé,go gcloise tú,nár chloise tú,go gcloise sé,nár chloise sé,go gcloisimid,nár chloisimid,go gcloise muid,nár chloise muid,go gcloise sibh,nár chloise sibh,go gcloise siad,nár chloise siad,go gcloistear,nár chloistear
cluin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
déan,do,déanamh,déanta,v3,rinne mé,an ndearna mé?,ní dhearna mé,rinne tú,an ndearna tú?,ní dhearna tú,rinne sé,an ndearna sé?,ní dhearna sé,rinneamar,an ndearnamar?,ní dhearnamar,rinne muid,an ndearna muid?,ní dhearna muid,rinne sibh,an ndearna sibh?,ní dhearna sibh,rinne siad,an ndearna siad?,ní dhearna siad,rinneadar,an ndearnadar?,ní dhearnadar,rinneadh,an ndearnadh?,ní dhearnadh,déanaim,an ndéanaim?,ní dhéanaim,déanann tú,an ndéanann tú?,ní dhéanann tú,déanann sé,an ndéanann sé?,ní dhéanann sé,déanaimid,an ndéanaimid?,ní dhéanaimid,déanann muid,an ndéanann muid?,ní dhéanann muid,déanann sibh,an ndéanann sibh?,ní dhéanann sibh,déanann siad,an ndéanann siad?,ní dhéanann siad,déantar,an ndéantar?,ní dhéantar,déanfaidh mé,an ndéanfaidh mé?,ní dhéanfaidh mé,déanfaidh tú,an ndéanfaidh tú?,ní dhéanfaidh tú,déanfaidh sé,an ndéanfaidh sé?,ní dhéanfaidh sé,déanfaimid,an ndéanfaimid?,ní dhéanfaimid,déanfaidh muid,an ndéanfaidh muid?,ní dhéanfaidh muid,déanfaidh sibh,an ndéanfaidh sibh?,ní dhéanfaidh sibh,déanfaidh siad,an ndéanfaidh siad?,ní dhéanfaidh siad,déanfar,an ndéanfar?,ní dhéanfar,dhéanfainn,an ndéanfainn?,ní dhéanfainn,dhéanfá,an ndéanfá?,ní dhéanfá,dhéanfadh sé,an ndéanfadh sé?,ní dhéanfadh sé,dhéanfaimis,an ndéanfaimis?,ní dhéanfaimis,dhéanfadh muid,an ndéanfadh muid?,ní dhéanfadh muid,dhéanfadh sibh,an ndéanfadh sibh?,ní dhéanfadh sibh,dhéanfaidís,an ndéanfaidís?,ní dhéanfaidís,dhéanfadh siad,an ndéanfadh siad?,ní dhéanfadh siad,dhéanfaí,an ndéanfaí?,ní dhéanfaí,dhéanainn,an ndéanainn?,ní dhéanainn,dhéantá,an ndéantá?,ní dhéantá,dhéanadh sé,an ndéanadh sé?,ní dhéanadh sé,dhéanaimis,an ndéanaimis?,ní dhéanaimis,dhéanadh muid,an ndéanadh muid?,ní dhéanadh muid,dhéanadh sibh,an ndéanadh sibh?,ní dhéanadh sibh,dhéanaidís,an ndéanaidís?,ní dhéanaidís,dhéanadh siad,an ndéanadh siad?,ní dhéanadh siad,dhéantaí,an ndéantaí?,ní dhéantaí,déanaim!,ná déanaim!,déan!,ná déan!,déanadh sé!,ná déanadh sé!,déanaimis!,ná déanaimis!,déanadh muid!,ná déanadh muid!,déanaigí!,ná déanaigí!,déanaidís!,ná déanaidís!,déanadh siad!,ná déanadh siad!,déantar!,ná déantar!,go ndéana mé,nár dhéana mé,go ndéana tú,nár dhéana tú,go ndéana sé,nár dhéana sé,go ndéanaimid,nár dhéanaimid,go ndéana muid,nár dhéana muid,go ndéana sibh,nár dhéana sibh,go ndéana siad,nár dhéana siad,go ndéantar,nár dhéantar
faigh,get,fáil,faighte,v3,fuair mé,an bhfuair mé?,ní bhfuair mé,fuair tú,an bhfuair tú?,ní bhfuair tú,fuair sé,an bhfuair sé?,ní bhfuair sé,fuaireamar,an bhfuaireamar?,ní bhfuaireamar,fuair muid,an bhfuair muid?,ní bhfuair muid,fuair sibh,an bhfuair sibh?,ní bhfuair sibh,fuair siad,an bhfuair siad?,ní bhfuair siad,fuaireadar,an bhfuaireadar?,ní bhfuaireadar,fuarthas,an bhfuarthas?,ní bhfuarthas,faighim,an bhfaighim?,ní fhaighim,faigheann tú,an bhfaigheann tú?,ní fhaigheann tú,faigheann sé,an bhfaigheann sé?,ní fhaigheann sé,faighimid,an bhfaighimid?,ní fhaighimid,faigheann muid,an bhfaigheann muid?,ní fhaigheann muid,faigheann sibh,an bhfaigheann sibh?,ní fhaigheann sibh,faigheann siad,an bhfaigheann siad?,ní fhaigheann siad,faightear,an bhfaightear?,ní fhaightear,gheobhaidh mé,an bhfaighidh mé?,ní bhfaighidh mé,gheobhaidh tú,an bhfaighidh tú?,ní bhfaighidh tú,gheobhaidh sé,an bhfaighidh sé?,ní bhfaighidh sé,gheobhaimid,an bhfaighimid?,ní bhfaighimid,gheobhaidh muid,an bhfaighidh muid?,ní bhfaighidh muid,gheobhaidh sibh,an bhfaighidh sibh?,ní bhfaighidh sibh,gheobhaidh siad,an bhfaighidh siad?,ní bhfaighidh siad,gheofar,an bhfaighfear?,ní bhfaighfear,gheobhainn,an bhfaighinn?,ní bhfaighinn,gheofá,an bhfaighfeá?,ní bhfaighfeá,gheobhadh sé,an bhfaigheadh sé?,ní bhfaigheadh sé,gheobhaimis,an bhfaighimis?,ní bhfaighimis,gheobhadh muid,an bhfaigheadh muid?,ní bhfaigheadh muid,gheobhadh sibh,an bhfaigheadh sibh?,ní bhfaigheadh sibh,gheobhaidís,an bhfaighidís?,ní bhfaighidís,gheobhadh siad,an bhfaigheadh siad?,ní bhfaigheadh siad,gheofaí,an bhfaighfí?,ní bhfaighfí,d'fhaighinn,an bhfaighinn?,ní fhaighinn,d'fhaighteá,an bhfaighteá?,ní fhaighteá,d'fhaigheadh sé,an bhfaigheadh sé?,ní fhaigheadh sé,d'fhaighimis,an bhfaighimis?,ní fhaighimis,d'fhaigheadh muid,an bhfaigheadh muid?,ní fhaigheadh muid,d'fhaigheadh sibh,an bhfaigheadh sibh?,ní fhaigheadh sibh,d'fhaighidís,an bhfaighidís?,ní fhaighidís,d'fhaigheadh siad,an bhfaigheadh siad?,ní fhaigheadh siad,d'fhaightí,an bhfaightí?,ní fhaightí,faighim!,ná faighim!,faigh!,ná faigh!,faigheadh sé!,ná faigheadh sé!,faighimis!,ná faighimis!,faigheadh muid!,ná faigheadh muid!,faighigí!,ná faighigí!,faighidís!,ná faighidís!,faigheadh siad!,ná faigheadh siad!,faightear!,ná faightear!,go bhfaighe mé,nár fhaighe mé,go bhfaighe tú,nár fhaighe tú,go bhfaighe sé,nár fhaighe sé,go bhfaighimid,nár fhaighimid,go bhfaighe muid,nár fhaighe muid,go bhfaighe sibh,nár fhaighe sibh,go bhfaighe siad,nár fhaighe siad,go bhfaightear,nár fhaightear
feic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ith,eat,ithe,ite,v3,d'ith mé,ar ith mé?,níor ith mé,d'ith tú,ar ith tú?,níor ith tú,d'ith sé,ar ith sé?,níor ith sé,d'itheamar,ar itheamar?,níor itheamar,d'ith muid,ar ith muid?,níor ith muid,d'ith sibh,ar ith sibh?,níor ith sibh,d'ith siad,ar ith siad?,níor ith siad,d'itheadar,ar itheadar?,níor itheadar,itheadh,ar itheadh?,níor itheadh,ithim,an ithim?,ní ithim,itheann tú,an itheann tú?,ní itheann tú,itheann sé,an itheann sé?,ní itheann sé,ithimid,an ithimid?,ní ithimid,itheann muid,an itheann muid?,ní itheann muid,itheann sibh,an itheann sibh?,ní itheann sibh,itheann siad,an itheann siad?,ní itheann siad,itear,an itear?,ní itear,íosfaidh mé,an íosfaidh mé?,ní íosfaidh mé,íosfaidh tú,an íosfaidh tú?,ní íosfaidh tú,íosfaidh sé,an íosfaidh sé?,ní íosfaidh sé,íosfaimid,an íosfaimid?,ní íosfaimid,íosfaidh muid,an íosfaidh muid?,ní íosfaidh muid,íosfaidh sibh,an íosfaidh sibh?,ní íosfaidh sibh,íosfaidh siad,an íosfaidh siad?,ní íosfaidh siad,íosfar,an íosfar?,ní íosfar,d'íosfainn,an íosfainn?,ní íosfainn,d'íosfá,an íosfá?,ní íosfá,d'íosfadh sé,an íosfadh sé?,ní íosfadh sé,d'íosfaimis,an íosfaimis?,ní íosfaimis,d'íosfadh muid,an íosfadh muid?,ní íosfadh muid,d'íosfadh sibh,an íosfadh sibh?,ní íosfadh sibh,d'íosfaidís,an íosfaidís?,ní íosfaidís,d'íosfadh siad,an íosfadh siad?,ní íosfadh siad,d'íosfaí,an íosfaí?,ní íosfaí,d'ithinn,an ithinn?,ní ithinn,d'iteá,an iteá?,ní iteá,d'itheadh sé,an itheadh sé?,ní itheadh sé,d'ithimis,an ithimis?,ní ithimis,d'itheadh muid,an itheadh muid?,ní itheadh muid,d'itheadh sibh,an itheadh sibh?,ní itheadh sibh,d'ithidís,an ithidís?,ní ithidís,d'itheadh siad,an itheadh siad?,ní itheadh siad,d'ití,an ití?,ní ití,ithim!,ná hithim!,ith!,ná hith!,itheadh sé!,ná hitheadh sé!,ithimis!,ná hithimis!,itheadh muid!,ná hitheadh muid!,ithigí!,ná hithigí!,ithidís!,ná hithidís!,itheadh siad!,ná hitheadh siad!,itear!,ná hitear!,go n-ithe mé,nár ithe mé,go n-ithe tú,nár ithe tú,go n-ithe sé,nár ithe sé,go n-ithimid,nár ithimid,go n-ithe muid,nár ithe muid,go n-ithe sibh,nár ithe sibh,go n-ithe siad,nár ithe siad,go n-itear,nár itear
tabhair,give,tabhairt,tugtha,v3,thug mé,ar thug mé?,níor thug mé,thug tú,ar thug tú?,níor thug tú,thug sé,ar thug sé?,níor thug sé,thugamar,ar thugamar?,níor thugamar,thug muid,ar thug muid?,níor thug muid,thug sibh,ar thug sibh?,níor thug sibh,thug siad,ar thug siad?,níor thug siad,thugadar,ar thugadar?,níor thugadar,tugadh,ar tugadh?,níor tugadh,tugaim,an dtugaim?,ní thugaim,tugann tú,an dtugann tú?,ní thugann tú,tugann sé,an dtugann sé?,ní thugann sé,tugaimid,an dtugaimid?,ní thugaimid,tugann muid,an dtugann muid?,ní thugann muid,tugann sibh,an dtugann sibh?,ní thugann sibh,tugann siad,an dtugann siad?,ní thugann siad,tugtar,an dtugtar?,ní thugtar,tabharfaidh mé,an dtabharfaidh mé?,ní thabharfaidh mé,tabharfaidh tú,an dtabharfaidh tú?,ní thabharfaidh tú,tabharfaidh sé,an dtabharfaidh sé?,ní thabharfaidh sé,tabharfaimid,an dtabharfaimid?,ní thabharfaimid,tabharfaidh muid,an dtabharfaidh muid?,ní thabharfaidh muid,tabharfaidh sibh,an dtabharfaidh sibh?,ní thabharfaidh sibh,tabharfaidh siad,an dtabharfaidh siad?,ní thabharfaidh siad,tabharfar,an dtabharfar?,ní thabharfar,thabharfainn,an dtabharfainn?,ní thabharfainn,thabharfá,an dtabharfá?,ní thabharfá,thabharfadh sé,an dtabharfadh sé?,ní thabharfadh sé,thabharfaimis,an dtabharfaimis?,ní thabharfaimis,thabharfadh muid,an dtabharfadh muid?,ní thabharfadh muid,thabharfadh sibh,an dtabharfadh sibh?,ní thabharfadh sibh,thabharfaidís,an dtabharfaidís?,ní thabharfaidís,thabharfadh siad,an dtabharfadh siad?,ní thabharfadh siad,thabharfaí,an dtabharfaí?,ní thabharfaí,thugainn,an dtugainn?,ní thugainn,thugtá,an dtugtá?,ní thugtá,thugadh sé,an dtugadh sé?,ní thugadh sé,thugaimis,an dtugaimis?,ní thugaimis,thugadh muid,an dtugadh muid?,ní thugadh muid,thugadh sibh,an dtugadh sibh?,ní thugadh sibh,thugaidís,an dtugaidís?,ní thugaidís,thugadh siad,an dtugadh siad?,ní thugadh siad,thugtaí,an dtugtaí?,ní thugtaí,tugaim!,ná tugaim!,tabhair!,ná tabhair!,tugadh sé!,ná tugadh sé!,tugaimis!,ná tugaimis!,tugadh muid!,ná tugadh muid!,tugaigí!,ná tugaigí!,tugaidís!,ná tugaidís!,tugadh siad!,ná tugadh siad!,tugtar!,ná tugtar!,go dtuga mé,nár thuga mé,go dtuga tú,nár thuga tú,go dtuga sé,nár thuga sé,go dtugaimid,nár thugaimid,go dtuga muid,nár thuga muid,go dtuga sibh,nár thuga sibh,go dtuga siad,nár thuga siad,go dtugtar,nár thugtar
