_Headword,English,Type,Class,Conjugation
abair,say,v3,irregular,3
ábhraigh,fester,v2a,class9,2
achainigh,entreat,v2b,class10,2
achair,beseech,v1fx,class15,1
achoimrigh,summarize,v2b,class10,2
achomharc,appeal,v1a,class1,1
achtaigh,enact,v2a,class9,2
achtáil,actualize,v1c,class3,1
aclaigh,limber,v2a,class9,2
acmhainnigh,resource,v2b,class10,2
adáirigh,iodate,v2b,class10,2
adamhaigh,atomize,v2a,class9,2
adhain,kindle,v1f,class14,1
adhair,adore,v1f,class14,1
adhaltranaigh,adulterate,v2a,class9,2
adharcáil,gore,v1c,class3,1
adhfhuathaigh,dread,v2a,class9,2
adhlaic,bury,v1bx,class4,1
adhmadaigh,timber,v2a,class9,2
adhmhill,destroy utterly,v1b,class2,1
adhmhol,extol,v1a,class1,1
adhnáirigh,shame,v2b,class10,2
admhaigh,acknowledge,v2a,class9,2
aducht,adduct,v1a,class1,1
aeraigh,aerate,v2a,class9,2
aeráil,air,v1c,class3,1
aerchóirigh,air-condition,v2b,class10,2
aeroiriúnaigh,air-condition,v2a,class9,2
aerthriomaigh,air-dry,v2a,class9,2
agaigh,stagger,v2a,class9,2
agaill,interview,v1bx,class4,1
agair,plead,v2c,class11,2
aghloit,deface,v1b,class2,1
agóid,object,v1b,class2,1
aibhligh,scintillate,v2b,class10,2
áibhligh,magnify,v2b,class10,2
aibhsigh,emphasize,v2b,class10,2
aibigh,ripen,v2b,class10,2
aiceannaigh,accent,v2a,class9,2
aicéitiligh,acetylate,v2b,class10,2
aicmigh,classify,v2b,class10,2
aifir,rebuke,v2d,class12,2
aigéadaigh,acidify,v2a,class9,2
aigéadeitseáil,acid-etch,v1c,class3,1
aigh,close,v1d,class5,1
aighnigh,submit,v2b,class10,2
ailínigh,align,v2b,class10,2
áilligh,beautify,v2b,class10,2
ailsigh,carcinify,v2b,class10,2
ailtéamaigh,altemate,v2a,class9,2
aimhriar,disorder,v1a,class1,1
aimpligh,amplify,v2b,class10,2
aimridigh,sterilize,v2b,class10,2
aimsigh,aim,v2b,class10,2
ainbheir,abort,v1b,class2,1
ainéal,anneal,v1a,class1,1
ainéistéisigh,anesthetize,v2b,class10,2
ainic,protect,v1b,class2,1
ainimhigh,disfigure,v2b,class10,2
ainligh,guide,v2b,class10,2
ainmnigh,name,v2b,class10,2
ainteagmhaigh,molest,v2a,class9,2
airbheartaigh,purport,v2a,class9,2
aireachasaigh,mind,v2a,class9,2
airg,invent,v1b,class2,1
airgeadaigh,silver,v2a,class9,2
airigh,perceive,v2b,class10,2
áirigh,count,v2b,class10,2
áirithigh,ensure,v2b,class10,2
airlic,lend,v1bx,class4,1
ais-ling,spring back,v1b,class2,1
ais-suiteáil,retrofit,v1c,class3,1
aisbhreathnaigh,look back,v2a,class9,2
aisc,ask,v1b,class2,1
aischéimnigh,regress,v2b,class10,2
aischrosáil,backcross,v1c,class3,1
aischuir,restore,v1b,class2,1
aisdúichigh,repatriate,v2b,class10,2
aiséiligh,reclaim,v2b,class10,2
aiséirigh,rise again,v2b,class10,2
aiseitil,fly back,v2d,class12,2
aisfheistigh,retrofit,v2b,class10,2
aisfhill,retroflex,v1b,class2,1
aisfhreagair,retort,v2c,class11,2
aisfhuaigh,backstitch,v1d,class5,1
aisfhuaimnigh,reverberate,v2b,class10,2
aisghabh,retake,v1a,class1,1
aisghair,abrogate,v1b,class2,1
aisghníomhaigh,retroact,v2a,class9,2
aisig,restore,v1bx,class4,1
áisigh,facilitate,v2b,class10,2
aisíoc,repay,v1a,class1,1
aisiompaigh,reverse,v2a,class9,2
aisléasaigh,lease back,v2a,class9,2
aisléim,recoil,v1b,class2,1
aislíon,backfill,v1a,class1,1
aisphostáil,postback,v1c,class3,1
aisphreab,rebound,v1a,class1,1
aistarraing,withdraw,v2e,class13,2
aistrigh,move,v2b,class10,2
aitheasc,address,v1a,class1,1
aithin1,recognize,v2d,class12,2
aithin2,bid,v2d,class12,2
aithisigh,slur,v2b,class10,2
aithris,recite,v2e,class13,2
áitigh,occupy,v2b,class10,2
aitim,beseech,v5,defective,5
aitreoigh,divert,v1d,class5,1
áitrigh,inhabit,v2b,class10,2
allasaigh,sweat,v2a,class9,2
allmhairigh,import,v2b,class10,2
